D,P,stone_dens,cluster_area,n_ants,cluster_dens,distance,cumulative,timepoints,ID,colony
0.4,0.133333333,0.21622833,0.916841753,0.042334196,0.02837691,28.02140465,0.533333333,225,R34.1,R34
0.866666667,0.4,0.577544716,0.916841753,0.042334196,0.02837691,24.68963829,1.266666667,225,R34.2,R34
0.266666667,0.133333333,0.20067005,0.916841753,0.042334196,0.02837691,34.73118944,0.4,225,R34.3,R34
0.8,0.066666667,0.305477199,-0.272208816,-0.406321587,0.024146954,36.2159349,0.866666667,225,R29.1,R29
0.2,0,0.18122556,-0.272208816,-0.406321587,0.024146954,21.99424458,0.2,225,R29.2,R29
0.133333333,0,0.003939686,-0.272208816,-0.406321587,0.024146954,41.99321931,0.133333333,225,R29.3,R29
0.666666667,0.2,0.502011607,-0.352413463,0.090820649,0.024750025,20.80563227,0.866666667,225,R05.1,R05
0.266666667,0,0.18463129,-0.352413463,0.090820649,0.024750025,23.62766228,0.266666667,225,R05.2,R05
0.533333333,0.4,0.532900806,-0.352413463,0.090820649,0.024750025,25.58206493,0.933333333,225,R05.3,R05
0.133333333,0.133333333,0.151588669,-0.364750607,0.102134983,0.034940076,41.3117444,0.266666667,240,R54.1,R54
0.866666667,0.066666667,0.625140189,-0.364750607,0.102134983,0.034940076,28.09823665,0.933333333,240,R54.2,R54
0.066666667,0.133333333,0.357968422,-0.364750607,0.102134983,0.034940076,22.88750371,0.2,240,R54.3,R54
0.333333333,0,0.251472595,-0.429382744,0.113773153,0.029862714,28.63091825,0.333333333,240,R34.1,R34
0.4,0,0.63630187,-0.429382744,0.113773153,0.029862714,25.07543607,0.4,240,R34.2,R34
0.133333333,0.2,0.207274381,-0.429382744,0.113773153,0.029862714,34.11277451,0.333333333,240,R34.3,R34
0.2,0.133333333,0.362451121,0.22417656,0.929530207,0.025632541,36.42614482,0.333333333,240,R29.1,R29
0.533333333,0.066666667,0.222373393,0.22417656,0.929530207,0.025632541,21.37881799,0.6,240,R29.2,R29
0.066666667,0,0.015758744,0.22417656,0.929530207,0.025632541,41.58372439,0.066666667,240,R29.3,R29
0.2,0,0.502398067,0.04828381,0.751016906,0.025644203,20.77614678,0.2,240,R05.1,R05
